latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
38.72647,127.15523,340.6,0.5,0.5,2017-04-29,0354,N,nominal,1.0NRT,303.4,10.9,D
38.72389,127.15315,336.2,0.5,0.5,2017-04-29,0354,N,nominal,1.0NRT,299.9,6.4,D
38.72804,127.15147,344.6,0.5,0.5,2017-04-29,0354,N,nominal,1.0NRT,298.8,6.4,D
38.79401,126.51041,340.8,0.5,0.5,2017-04-29,0354,N,nominal,1.0NRT,302.5,9.7,D
38.96684,127.24557,344.8,0.4,0.5,2017-04-29,0354,N,nominal,1.0NRT,297.1,5,D
38.79803,126.51212,341.6,0.5,0.5,2017-04-29,0354,N,nominal,1.0NRT,302,9,D
38.91399,126.67149,346.5,0.5,0.5,2017-04-29,0354,N,nominal,1.0NRT,305.1,4.8,D
38.91848,126.67088,338.5,0.5,0.5,2017-04-29,0354,N,nominal,1.0NRT,302,4.4,D
39.06134,126.36584,340,0.5,0.5,2017-04-29,0354,N,nominal,1.0NRT,303.4,5.9,D
39.16623,126.64269,339.9,0.5,0.5,2017-04-29,0354,N,nominal,1.0NRT,297.9,5.3,D
39.17041,126.64078,344.7,0.5,0.5,2017-04-29,0354,N,nominal,1.0NRT,299.3,10,D
39.1692,126.63542,339.6,0.5,0.5,2017-04-29,0354,N,nominal,1.0NRT,298.2,10,D
39.16561,126.63983,330.9,0.5,0.5,2017-04-29,0354,N,nominal,1.0NRT,298,3.4,D
39.16982,126.63807,367,0.5,0.5,2017-04-29,0354,N,nominal,1.0NRT,303.1,20.5,D
39.24762,126.088,343.5,0.5,0.5,2017-04-29,0354,N,nominal,1.0NRT,303.8,6.8,D
39.4285,126.78333,333.6,0.5,0.5,2017-04-29,0354,N,nominal,1.0NRT,297.5,2.9,D
39.42957,126.78152,334.1,0.5,0.5,2017-04-29,0354,N,nominal,1.0NRT,295.8,3.8,D
41.81545,140.6327,330.6,0.4,0.5,2017-04-29,0354,N,nominal,1.0NRT,299.7,2,D
41.8195,140.632,331.7,0.4,0.5,2017-04-29,0354,N,nominal,1.0NRT,298.8,3.8,D
39.53835,126.2506,349.9,0.5,0.5,2017-04-29,0354,N,nominal,1.0NRT,301,13,D
39.53719,126.24561,341.3,0.5,0.5,2017-04-29,0354,N,nominal,1.0NRT,300.3,13,D
39.65896,126.55344,342.1,0.5,0.5,2017-04-29,0354,N,nominal,1.0NRT,298.2,4,D
40.37112,127.25884,341.2,0.4,0.5,2017-04-29,0354,N,nominal,1.0NRT,300.4,4.4,D
40.90118,129.43164,331.8,0.5,0.4,2017-04-29,0354,N,nominal,1.0NRT,300.8,2.3,D
40.47219,126.28203,350,0.5,0.5,2017-04-29,0354,N,nominal,1.0NRT,296.7,10.2,D
41.0513,128.76477,325.3,0.5,0.4,2017-04-29,0354,N,nominal,1.0NRT,298.3,3,D
39.63037,122.09248,336.7,0.4,0.6,2017-04-29,0354,N,nominal,1.0NRT,307.3,2.1,D
41.41435,129.60641,329.5,0.5,0.4,2017-04-29,0354,N,nominal,1.0NRT,302.5,1.4,D
41.14625,128.26439,326.7,0.5,0.4,2017-04-29,0354,N,low,1.0NRT,297.3,2.6,D
41.45565,129.54453,333.4,0.5,0.4,2017-04-29,0354,N,nominal,1.0NRT,303,3,D
39.61261,121.68298,346.9,0.4,0.6,2017-04-29,0354,N,nominal,1.0NRT,309.1,3.1,D
39.77278,121.51411,334.3,0.4,0.6,2017-04-29,0354,N,nominal,1.0NRT,304.5,2.4,D
40.29335,122.23019,367,0.4,0.6,2017-04-29,0354,N,nominal,1.0NRT,307.3,23.6,D
40.29216,122.22572,352.5,0.4,0.6,2017-04-29,0354,N,nominal,1.0NRT,311,18.1,D
40.29597,122.22647,367,0.4,0.6,2017-04-29,0354,N,nominal,1.0NRT,307.1,10.8,D
40.29475,122.22198,345.6,0.4,0.6,2017-04-29,0354,N,nominal,1.0NRT,306.8,10.8,D
39.45629,118.98551,330.4,0.6,0.7,2017-04-29,0354,N,nominal,1.0NRT,303.7,2.3,D
42.77725,133.08688,327.9,0.4,0.4,2017-04-29,0354,N,nominal,1.0NRT,296.7,2.9,D
42.77652,133.08221,328.1,0.4,0.4,2017-04-29,0354,N,nominal,1.0NRT,298.2,2.9,D
42.78054,133.08594,340.7,0.4,0.4,2017-04-29,0354,N,nominal,1.0NRT,298.4,2.9,D
42.7798,133.08128,326.5,0.4,0.4,2017-04-29,0354,N,low,1.0NRT,298.4,2.9,D
42.78161,133.07098,340.8,0.4,0.4,2017-04-29,0354,N,nominal,1.0NRT,299.9,11.3,D
42.84827,133.04333,341.6,0.4,0.4,2017-04-29,0354,N,nominal,1.0NRT,303,20.7,D
42.8636,133.05354,328.1,0.4,0.4,2017-04-29,0354,N,nominal,1.0NRT,295.1,1.7,D
42.8611,132.79985,345.6,0.4,0.4,2017-04-29,0354,N,nominal,1.0NRT,297.2,3.9,D
42.86035,132.79517,328.1,0.4,0.4,2017-04-29,0354,N,nominal,1.0NRT,291.6,3.9,D
42.86438,132.79887,330.5,0.4,0.4,2017-04-29,0354,N,nominal,1.0NRT,291,3.9,D
42.85733,132.39896,340.5,0.4,0.4,2017-04-29,0354,N,nominal,1.0NRT,289,6.6,D
43.00056,132.94691,337.9,0.4,0.4,2017-04-29,0354,N,nominal,1.0NRT,290.1,9.3,D
42.73031,130.69347,329.8,0.4,0.4,2017-04-29,0354,N,nominal,1.0NRT,296.8,1.4,D
43.09122,132.36751,332.8,0.4,0.4,2017-04-29,0354,N,nominal,1.0NRT,268.1,2.7,D
43.22477,133.18465,327,0.4,0.4,2017-04-29,0354,N,nominal,1.0NRT,281.7,2.1,D
43.22732,133.179,326.2,0.4,0.4,2017-04-29,0354,N,nominal,1.0NRT,281.1,2.3,D
42.7547,130.35953,327.6,0.4,0.4,2017-04-29,0354,N,nominal,1.0NRT,293.4,1.7,D
